company_id,company_name,sector,previous_year,previous_pattern,latest_year,latest_pattern,pattern_changed
ABB,Abbott India Ltd,Industrials,2023.0,Reinvestment + Deleveraging,2024.0,Reinvestment + Deleveraging,False
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2023.0,Growth + External Financing,2024.0,Reinvestment + Deleveraging,True
ADANIENT,Adani Enterprises Ltd,Industrials,2023.0,Reinvestment + Deleveraging,2024.0,Growth + External Financing,True
ADANIGREEN,Adani Green Energy Ltd,Energy,2023.0,Reinvestment + Deleveraging,2024.0,Growth + External Financing,True
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,2023.0,Reinvestment + Deleveraging,2024.0,Reinvestment + Deleveraging,False
ADANIPOWER,Adani Power Ltd,Energy,2023.0,Cash Generation + Deleveraging,2024.0,Cash Generation + Deleveraging,False
AMBUJACEM,Ambuja Cements Ltd,Materials,2023.0,Growth + External Financing,2024.0,Growth + External Financing,False
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,2023.0,Reinvestment + Deleveraging,2024.0,Reinvestment + Deleveraging,False
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,2023.0,Reinvestment + Deleveraging,2024.0,Reinvestment + Deleveraging,False
ATGL,Adani Total Gas Ltd,Energy,2023.0,Growth + External Financing,2024.0,Reinvestment + Deleveraging,True
AXISBANK,Axis Bank Ltd,Financials,2023.0,Growth + External Financing,2024.0,Financing Supported,True
BAJAJAUTO,Bajaj Auto Ltd,Consumer Discretionary,2023.0,Cash Generation + Deleveraging,2024.0,Reinvestment + Deleveraging,True
BAJAJFINSV,Bajaj Finserv Ltd,Financials,2023.0,Financing Supported,2024.0,Financing Supported,False
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,2023.0,Reinvestment + Deleveraging,2024.0,Reinvestment + Deleveraging,False
BAJFINANCE,Bajaj Finance Ltd,Financials,2023.0,Financing Supported,2024.0,Financing Supported,False
BANKBARODA,Bank of Baroda,Financials,2023.0,Cash Burn + Investment,2024.0,Financing Supported,True
BEL,Bharat Electronics Ltd,Industrials,2023.0,Cash Generation + Deleveraging,2024.0,Reinvestment + Deleveraging,True
BHARTIARTL,Bharti Airtel Ltd,Communication Services,2023.0,Reinvestment + Deleveraging,2024.0,Reinvestment + Deleveraging,False
BHEL,"Bharat Heavy Electricals Limited
",Industrials,2023.0,Financing Supported,2024.0,Financing Supported,False
BOSCHLTD,Bosch Ltd,Consumer Discretionary,2023.0,Cash Generation + Deleveraging,2024.0,Cash Generation + Deleveraging,False
BPCL,Bharat Petroleum Corporation Ltd,Energy,2023.0,Reinvestment + Deleveraging,2024.0,Reinvestment + Deleveraging,False
BRITANNIA,Britannia Industries Ltd,Consumer Staples,2023.0,Reinvestment + Deleveraging,2024.0,Cash Generation + Deleveraging,True
CANBK,Canara Bank,Financials,2023.0,Financing Supported,2024.0,Reinvestment + Deleveraging,True
